[[0, 15], [37, 15], [37, 27], [0, 27]]|Oil price|0.8614
[[42, 16], [72, 16], [72, 24], [42, 24]]|AW|0.0191
[[320, 16], [344, 16], [344, 24], [320, 24]]|95i|0.4392
[[0, 29], [35, 29], [35, 41], [0, 41]]|Oil price|0.7002
[[42, 30], [66, 30], [66, 38], [42, 38]]|Brent|0.1739
[[270, 30], [292, 30], [292, 38], [270, 38]]|52 16|0.2005
[[318, 30], [342, 30], [342, 38], [318, 38]]|Omt|0.0079
[[365, 29], [391, 29], [391, 41], [365, 41]]|108.71|0.1237
[[0, 46], [68, 46], [68, 54], [0, 54]]|Nlwal @aSmicc|0.0957
[[75, 45], [123, 45], [123, 56], [75, 56]]|Henry Hub|0.6493
