(38,2) (76,2) (76,8) (38,8) | (s ul | 0,0463
(0,13) (57,13) (57,27) (0,27) | United States: | 0,7614
(317,25) (345,25) (345,39) (317,39) | 1,80+ | 0,7348
(367,25) (393,25) (393,39) (367,39) | 1,705 | 0,9370
(16,42) (144,42) (144,50) (16,50) | WwAH | 0,1998
(320,58) (342,58) (342,66) (320,66) | 156] | 0,2203
(0,72) (32,72) (32,80) (0,80) | Cumaaa | 0,0286
(18,98) (52,98) (52,106) (18,106) | OM Kot | 0,0694
(0,128) (48,128) (48,136) (0,136) | LcHMAUM | 0,0204
(56,128) (134,128) (134,136) (56,136) | (lv ( H | 0,0613
(317,137) (345,137) (345,151) (317,151) | L,0H | 0,1263
(18,154) (52,154) (52,162) (18,162) | OM Kot | 0,0694
(0,184) (64,184) (64,192) (0,192) | WuMhul L | 0,0212
(4,198) (40,198) (40,206) (4,206) | AI] (oLil | 0,1598
(270,198) (292,198) (292,204) (270,204) | V | 0,1460
(0,212) (56,212) (56,220) (0,220) | VVHsne LL | 0,0324
(28,238) (82,238) (82,246) (28,246) | N UC | 0,3316
(260,238) (282,238) (282,246) (260,246) | It | 0,0388
(310,238) (332,238) (332,246) (310,246) | ZMt | 0,0190
(360,238) (382,238) (382,246) (360,246) | ZM} | 0,0785
(0,251) (149,251) (149,265) (0,265) | HhSud L GUuf Muw | 0,0040
(317,263) (345,263) (345,277) (317,277) | 1,528 | 0,8517
(367,263) (393,263) (393,277) (367,277) | 1,375 | 0,2587
(0,310) (32,310) (32,318) (0,318) | Cumaaa | 0,0286
(323,319) (345,319) (345,333) (323,333) | 218 | 0,5989
(17,335) (65,335) (65,347) (17,347) | Natural g4s | 0,4709
(0,366) (134,366) (134,374) (0,374) | lM | 0,0193
(317,375) (345,375) (345,389) (317,389) | 1,070 | 0,7251
(370,378) (392,378) (392,386) (370,386) | LmZO | 0,0555
(0,422) (64,422) (64,430) (0,430) | WuMhul L | 0,0212
(270,422) (292,422) (292,430) (270,430) | 133l | 0,0306
(317,419) (345,419) (345,433) (317,433) | 3578 | 0,9305
(0,436) (32,436) (32,444) (0,444) | Uil tula  | 0,2827
(320,436) (342,436) (342,444) (320,444) | L5ig | 0,0411
(4,450) (26,450) (26,458) (4,458) | atur _ | 0,1187
(32,450) (66,450) (66,458) (32,458) | 248 [0lai | 0,0228
