(318,2) (360,2) (360,10) (318,10) | Dcccho:i | 0.2897
(0,16) (74,16) (74,24) (0,24) | o/l U Vuliz $ | 0.0395
(0,37) (39,37) (39,51) (0,51) | Buildings | 0.9986
(40,42) (90,42) (90,50) (40,50) | Auu Dopctte | 0.0332
(94,42) (152,42) (152,50) (94,50) | MhoveniCOIS | 0.0938
(0,54) (40,54) (40,62) (0,62) | Macheh | 0.2864
(46,54) (132,54) (132,62) (46,62) | cquipuent; Aid olct | 0.0494
(314,54) (342,54) (342,62) (314,62) | huY | 0.3223
(364,54) (388,54) (388,62) (364,62) | 1943 | 0.1492
(314,68) (344,68) (344,76) (314,76) | Juuu | 0.2110
(364,68) (392,68) (392,76) (364,76) | 2ASZ | 0.1026
(0,80) (124,80) (124,88) (0,88) | Lcs; #ccumulatCd Ucniccition | 0.1509
(320,80) (342,80) (342,88) (320,88) | 473 | 0.2975
(364,80) (388,80) (388,88) (364,88) | M_uu | 0.0503
(0,94) (76,94) (76,102) (0,102) | Nct prancity. ant_ | 0.0944
(96,96) (140,96) (140,102) (96,102) | CUMIMIC ILL | 0.0696
(320,94) (342,94) (342,102) (320,102) | W | 0.3159
